,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,popularity
Deserts Chang,0.631,0.2836,0.2898,124.69680000000001,0.7621,0.000316127,0.03373,0.13436,45
Jim Walton,0.4417,0.2815,0.3390000000000001,108.29310000000001,0.9069,9.346300000000001e-05,0.21629999999999994,0.39084,19
Plan B,0.8436,0.8257,0.6842999999999999,115.40070000000003,0.12782900000000003,0.00027944900000000003,0.09520999999999999,0.23259,78
Pieces Of A Dream,0.6942000000000002,0.5496,0.6741999999999999,105.36909999999997,0.22704200000000002,0.49114310000000005,0.04176,0.08003,33
EPEX,0.716,0.8479999999999999,0.7131000000000001,122.1306,0.07966,0.0,0.11445999999999998,0.16596000000000002,43
Mossdeep,0.5984999999999998,0.3228000000000001,0.20981,119.1599,0.7113,0.8892,0.0793,0.17258,37
Federico Estevez,0.7337999999999999,0.5957000000000001,0.4116000000000001,129.28220000000002,0.2659,0.62041,0.11511999999999997,0.21053999999999995,22
Patxi Montero,0.29890000000000005,0.10852999999999999,0.35146,104.5083,0.7464799999999999,0.14931386,0.03854,0.28763,18
Jimmy Vivino,0.5057000000000001,0.8032999999999999,0.6716,117.0116,0.13685,0.049878465999999996,0.10338,0.54283,18
The Floaters,0.6219,0.5843,0.7289,122.9727,0.25758000000000003,0.000574716,0.04577,0.15479000000000004,36
Suicidal Tendencies,0.3741,0.8937999999999999,0.48331999999999997,122.93539999999999,0.009125660000000002,0.0013495100000000002,0.14622000000000002,0.16927999999999999,53
Jorge Ben Jor,0.5765,0.5499,0.7410000000000001,106.7164,0.5334,0.005772944,0.061329999999999996,0.21944,62
Black Wing,0.3629,0.5539,0.15160999999999997,122.06530000000001,0.42810620000000005,0.734,0.038169999999999996,0.16018000000000002,24
Jennifer Thiessen,0.29179999999999995,0.12975,0.19729000000000002,120.5951,0.9874,0.7840999999999999,0.03703,0.16076000000000001,17
mehro,0.65,0.4505,0.42140000000000005,134.5124,0.7012,0.13057241000000003,0.0364,0.13138999999999998,57
David Saint Val,0.6489,0.47643,0.41279999999999994,120.45469999999997,0.50161,0.0003129009999999999,0.09869,0.13749,23
Games We Play,0.5706,0.8164,0.7301000000000001,121.4544,0.00836569,0.000110176,0.0497,0.27071999999999996,42
Almighty Suspect,0.7666999999999999,0.5432,0.3839,118.44860000000001,0.0582389,0.00036410100000000003,0.43790000000000007,0.16849999999999998,32
Eyedi,0.7034,0.6744000000000001,0.4809,117.68220000000001,0.18261,0.026083280000000004,0.08678,0.11839999999999999,26
Jacana People,0.6538,0.6910999999999999,0.42969999999999997,120.29959999999998,0.35197,0.835,0.07202,0.15847,38
Aless Motta,0.6308,0.6475000000000001,0.3694700000000001,132.82319999999999,0.12474,3.8999999999999997e-07,0.07976,0.14726999999999998,2
Hokage Simon,0.6688000000000001,0.42460000000000003,0.5093000000000001,92.6755,0.52817,0.0448173,0.24807000000000007,0.24371,42
Safety Trance,0.6567,0.8789,0.42363,127.89199999999998,0.02289042,0.42303349999999995,0.1035,0.21425999999999998,43
The Black Dahlia Murder,0.45940000000000003,0.9811,0.13985,106.953,3.784e-05,0.16960379099999998,0.13099,0.26125,48
Khary,0.746,0.5635999999999999,0.572,120.954,0.26217999999999997,0.000247348,0.11646999999999999,0.14766,52
Hoffy Beats,0.6898,0.33479999999999993,0.35034,104.0279,0.47828,0.7653,0.07676000000000001,0.12527999999999997,54
Fashion Piva,0.7853,0.5288,0.6243000000000001,127.68429999999998,0.46515000000000006,0.081569971,0.1675,0.13459,24
The Click Five,0.534,0.7898000000000001,0.6123000000000001,112.60979999999999,0.02144486,0.000166798,0.03598,0.23368000000000003,47
Prophets Of Rage,0.6315,0.8902000000000001,0.7435,120.2387,0.028315,0.06273269000000001,0.08528,0.14255,41
